"DATE","AWAY_NAME","HOME_NAME","AWAY_2PA","AWAY_2PM","AWAY_3PA","AWAY_3PM","AWAY_FTA","AWAY_FTM","AWAY_TO","AWAY_ORB","AWAY_DRB","HOME_2PA","HOME_2PM","HOME_3PA","HOME_3PM","HOME_FTA","HOME_FTM","HOME_TO","HOME_ORB","HOME_DRB","AWAY_PTS_Q1","HOME_PTS_Q1","AWAY_PTS_Q2","HOME_PTS_Q2","AWAY_PTS_Q3","HOME_PTS_Q3","AWAY_PTS_Q4","HOME_PTS_Q4","AWAY_PTS_FINAL","HOME_PTS_FINAL"
20091105,"SA","UTA",65,29,16,6,31,23,12,16,20,76,43,7,1,30,24,11,14,27,22,32,50,60,80,93,99,113,99,113
20091106,"ATL","CHA",67,31,16,2,23,15,7,7,28,65,28,18,11,18,14,15,12,44,24,28,48,61,69,84,83,103,83,103
20091106,"CLE","NY",54,31,17,7,26,17,22,9,37,53,28,28,8,12,11,16,4,27,40,21,63,40,77,58,100,91,100,91
20091106,"DEN","MIA",59,32,13,2,24,18,19,8,26,58,31,17,6,24,16,18,14,27,21,23,38,50,56,78,88,96,88,96
20091106,"DET","ORL",63,34,11,4,37,23,11,7,27,48,28,28,8,35,30,11,9,28,23,40,43,58,68,82,103,110,103,110
20091106,"LAC","GS",63,38,13,6,32,24,17,7,37,62,22,22,7,33,25,19,15,26,30,19,57,45,91,61,118,90,118,90
20091106,"MEM","LAL",72,32,7,4,29,22,12,13,24,78,39,17,9,11,9,8,18,31,22,25,51,49,75,87,98,114,98,114
20091106,"MIL","MIN",62,27,20,7,18,12,20,17,34,60,25,14,4,17,10,22,8,30,16,24,33,38,64,52,87,72,87,72
20091106,"NJ","PHI",69,35,14,4,19,12,16,12,29,56,28,16,8,25,17,16,10,31,20,18,47,50,73,68,94,97,94,97
20091106,"OKC","HOU",84,38,8,2,17,12,15,11,29,62,36,16,6,19,15,19,8,32,21,26,45,50,69,80,94,105,94,105
20091106,"PHO","BOS",50,24,24,13,30,23,16,7,32,69,41,18,4,18,9,12,12,30,29,27,57,51,85,83,110,103,110,103
20091106,"SA","POR",58,26,21,4,26,20,10,9,28,57,27,17,5,30,27,14,11,37,14,29,40,51,58,68,84,96,84,96
20091106,"TOR","NO",48,25,29,14,23,15,11,9,30,55,30,20,6,19,12,14,8,26,19,23,49,51,83,65,107,90,107,90
20091106,"WAS","IND",68,28,16,5,26,15,19,15,32,62,27,23,7,36,27,13,14,37,19,23,41,53,65,82,86,102,86,102
20091107,"BOS","NJ",59,30,10,1,29,23,12,3,34,61,26,11,5,14,9,24,9,31,18,19,39,40,59,61,86,76,86,76
20091107,"CHA","CHI",57,22,29,12,14,10,18,16,22,67,34,9,4,22,13,21,15,29,28,26,53,46,70,73,90,93,90,93
20091107,"DEN","ATL",68,30,10,2,41,34,10,10,26,68,37,19,8,30,27,8,8,36,25,33,50,60,74,90,100,125,100,125
20091107,"MEM","LAC",79,39,10,2,32,26,18,15,30,63,36,21,6,33,23,13,9,27,29,23,60,55,82,82,110,113,110,113
20091107,"NY","MIL",65,25,15,8,17,13,17,6,28,64,33,24,8,16,12,20,15,39,22,40,35,66,58,83,87,102,87,102
20091107,"SAC","UTA",48,22,19,11,32,27,13,5,33,61,32,15,5,26,20,12,8,30,19,30,55,55,85,68,104,99,104,99
20091107,"TOR","DAL",60,28,22,8,27,21,14,12,27,65,43,20,10,21,13,9,6,36,25,26,48,55,70,85,101,129,101,129
20091108,"GS","SAC",65,36,18,6,28,17,15,7,27,69,38,18,5,38,29,14,15,37,29,30,54,65,77,96,107,120,107,120
20091108,"MIN","POR",64,30,19,7,21,12,16,10,29,67,34,15,7,30,27,14,12,37,24,33,45,62,67,92,93,116,93,116
20091108,"NO","LAL",63,24,22,7,23,19,13,15,28,54,26,27,12,18,16,12,8,37,17,27,42,55,58,82,88,104,88,104
20091108,"ORL","OKC",52,22,16,3,34,21,15,9,21,54,31,16,9,15,13,17,4,41,25,23,44,53,57,79,74,102,74,102
20091108,"PHI","DET",60,31,18,3,16,10,16,14,25,65,33,16,3,21,13,16,21,30,19,23,37,43,59,64,81,88,81,88
20091108,"PHO","WAS",61,30,27,12,14,6,21,13,37,71,30,16,4,27,18,17,14,31,26,29,56,51,80,71,102,90,102,90
20091109,"MIN","GS",74,37,20,5,20,16,28,21,32,68,40,23,12,38,30,12,11,27,29,33,55,74,77,111,105,146,105,146
20091109,"NO","LAC",59,33,27,10,20,16,15,11,34,61,29,18,5,20,11,17,11,25,35,28,60,46,94,63,112,84,112,84
20091109,"PHO","PHI",47,26,30,15,29,22,13,6,27,69,39,13,5,27,22,11,10,29,25,27,54,66,84,86,119,115,119,115
20091109,"TOR","SA",59,34,17,11,29,23,12,5,24,59,28,28,14,44,33,6,16,25,32,31,63,63,95,93,124,131,124,131
20091109,"UTA","NY",60,29,21,8,20,13,20,12,41,52,27,29,8,23,15,11,7,33,25,18,48,31,78,64,95,93,95,93
20091110,"DEN","CHI",68,30,16,5,19,15,18,15,31,69,34,18,4,13,9,13,15,29,22,20,46,43,71,66,90,89,90,89
20091110,"HOU","DAL",59,29,23,6,34,27,13,11,26,71,39,12,7,23,22,15,9,37,37,28,61,57,74,83,103,121,103,121
20091110,"OKC","SAC",61,25,17,6,35,30,16,8,28,62,32,14,2,36,31,22,15,36,26,24,51,54,77,83,98,101,98,101
20091110,"ORL","CHA",56,29,25,9,14,8,14,9,28,60,32,17,2,14,11,17,9,30,35,23,57,41,77,71,93,81,93,81
20091110,"POR","MEM",52,23,18,9,23,20,15,9,30,68,28,10,1,28,20,14,13,28,24,21,45,45,69,61,93,79,93,79
20091110,"WAS","MIA",58,25,14,4,21,14,22,9,29,62,29,12,4,26,20,14,8,29,27,21,49,41,62,65,76,90,76,90
20091111,"ATL","NY",68,38,13,6,24,20,15,9,33,61,35,24,5,18,16,16,9,30,23,25,47,54,84,77,114,101,114,101
20091111,"CHA","DET",49,24,15,4,26,15,20,11,22,58,35,14,5,17,13,12,7,27,22,20,41,52,53,81,75,98,75,98
20091111,"CHI","TOR",80,33,8,2,21,17,13,15,31,68,31,20,5,23,22,15,11,36,25,27,60,53,78,77,89,99,89,99
20091111,"CLE","ORL",63,27,14,10,23,18,15,6,36,64,33,18,4,25,15,10,7,30,35,28,66,51,88,68,102,93,102,93
20091111,"DAL","SA",64,23,15,5,27,22,11,11,36,46,20,34,14,19,10,13,10,37,21,21,38,51,64,79,83,92,83,92
20091111,"DEN","MIL",70,30,18,5,31,27,13,13,24,67,34,15,6,25,22,21,11,35,27,27,47,53,72,81,102,108,102,108
20091111,"GS","IND",77,33,15,4,24,16,14,9,33,71,31,14,7,34,25,18,16,41,28,32,47,64,70,84,94,108,94,108
20091111,"MEM","HOU",74,30,7,2,21,13,18,9,34,65,38,23,6,16,10,14,11,35,17,20,38,43,57,74,79,104,79,104
20091111,"NO","PHO",66,30,19,8,25,20,10,10,19,57,33,26,13,24,19,18,15,30,29,40,56,75,77,101,104,124,104,124
20091111,"OKC","LAC",70,32,13,3,15,10,13,12,34,58,21,20,7,22,16,15,14,29,22,22,43,48,66,69,83,79,83,79
20091111,"PHI","NJ",62,27,20,5,20,13,9,12,34,61,27,14,3,20,16,14,8,39,22,21,43,40,60,58,82,79,82,79
20091111,"POR","MIN",51,32,25,10,15,13,17,6,35,65,28,12,6,12,10,13,3,26,18,23,50,42,85,61,107,84,107,84
20091111,"UTA","BOS",69,37,10,0,18,12,21,17,22,58,34,19,7,18,16,15,12,21,23,28,44,54,62,84,86,105,86,105
20091112,"CLE","MIA",56,27,19,9,40,30,11,5,31,54,28,22,7,37,27,11,7,30,35,33,62,57,92,84,111,104,111,104
20091112,"PHO","LAL",81,30,23,8,29,18,13,24,31,76,45,16,8,18,7,15,8,42,24,31,45,59,71,92,102,121,102,121
20091113,"ATL","BOS",69,34,15,4,23,17,13,16,31,58,35,15,1,19,13,15,6,23,24,22,41,42,72,70,97,86,97,86
20091113,"DAL","MIN",63,30,22,4,22,17,17,11,46,72,26,17,3,27,16,13,12,39,22,22,44,33,73,54,89,77,89,77
20091113,"GS","NY",66,43,18,6,23,17,15,6,31,64,34,22,8,19,15,21,12,25,32,26,66,52,86,80,121,107,121,107
20091113,"HOU","SAC",62,29,27,8,19,18,10,9,26,66,31,15,8,29,23,19,16,38,30,30,52,63,77,82,100,109,100,109
20091113,"LAL","DEN",64,24,25,7,16,10,18,16,33,69,31,16,6,29,25,10,9,38,28,26,56,58,64,87,79,105,79,105
20091113,"NJ","ORL",68,23,17,5,13,11,14,7,37,47,25,27,8,25,14,16,8,40,27,23,42,42,56,62,72,88,72,88
20091113,"POR","NO",74,31,13,2,26,18,13,20,40,65,26,14,3,22,17,9,9,31,14,12,37,33,65,54,86,78,86,78
20091113,"TOR","LAC",60,32,20,9,15,13,10,8,26,52,29,18,4,27,19,17,12,24,17,34,45,54,74,74,104,89,104,89
20091113,"UTA","PHI",71,36,11,6,24,22,13,13,31,53,29,18,5,23,17,17,9,24,30,32,64,50,92,69,112,90,112,90
