"AWAY_2PA"	"AWAY_2PM"	"AWAY_3PA"	"AWAY_3PM"	"AWAY_FTA"	"AWAY_FTM"	"AWAY_TO"	"AWAY_ORB"	"AWAY_DRB"	"HOME_2PA"	"HOME_2PM"	"HOME_3PA"	"HOME_3PM"	"HOME_FTA"	"HOME_FTM"	"HOME_TO"	"HOME_ORB"	"HOME_DRB"	"WINNER"
"99"	57.1666666666667	24.6666666666667	20.3333333333333	8.66666666666667	22.6666666666667	18	11.6666666666667	10.1666666666667	26.3333333333333	76.6666666666667	36	14	4	24.6666666666667	18.6666666666667	12.3333333333333	10.6666666666667	32	"A"
"100"	65.8	31.6	14.4	4.2	22	17	17	13.2	29	58.4	33.2	18.6	5.6	26.8	21.4	12.6	9.4	29	"H"
"101"	66.6	31	20.2	6.4	18.8	15	12.6	12	34.2	56.2	27	27.6	10.2	27.6	21.4	16.8	11.4	31.4	"A"
"102"	62.5	29.1666666666667	16.8333333333333	6.66666666666667	28.8333333333333	23.3333333333333	11.5	11.5	31.6666666666667	57	30	17.5	6	24	19.75	17.25	8.5	32.25	"H"
"103"	58	28.75	20.25	6.5	27	20.5	10.75	9.75	29.25	61.6666666666667	30.3333333333333	16	5.66666666666667	26.3333333333333	22.6666666666667	13	8.66666666666667	28.3333333333333	"H"
"104"	70.75	32.5	18	5.25	21.75	18.5	11.5	14.25	26	63.3333333333333	28.6666666666667	16.6666666666667	5	38.3333333333333	29.3333333333333	17.3333333333333	9.33333333333333	35.3333333333333	"H"
"105"	56.3333333333333	25.6666666666667	25.3333333333333	8.66666666666667	30	21	13.3333333333333	10	37	55	25.6666666666667	16	5.33333333333333	28.6666666666667	22.3333333333333	15.3333333333333	10.6666666666667	26	"A"
"106"	63.3333333333333	32.6666666666667	16.3333333333333	7.33333333333333	17.3333333333333	14.6666666666667	12.3333333333333	7	31.3333333333333	66.8	34.8	14.4	5.2	25	19.4	15.6	10.4	31.6	"A"
"107"	64.1666666666667	28.5	15.6666666666667	6.33333333333333	20.1666666666667	16.3333333333333	12.6666666666667	10.3333333333333	30.8333333333333	76.4	31	8.2	2.6	23.4	17.2	15.6	13.8	32	"A"
"108"	56.3333333333333	29.6666666666667	15.6666666666667	6.33333333333333	32.6666666666667	24	17.5	8	32.5	68	35.25	10.25	3.5	27	20.5	14.5	12.5	30.5	"H"
"109"	61	30.75	17.25	7.75	17.25	14.25	12.75	6.75	30.5	63.1428571428571	28.2857142857143	19.1428571428571	6	24.1428571428571	17.1428571428571	14.8571428571429	11.2857142857143	27.4285714285714	"A"
"110"	56.8333333333333	25	22.1666666666667	9.83333333333333	28.1666666666667	20.1666666666667	13.1666666666667	11.6666666666667	30.3333333333333	59.4	29.2	23.6	7.6	24.4	17.8	14.4	10.8	34.2	"H"
"111"	69	26.3333333333333	14	5	25	21	17.3333333333333	10.6666666666667	31	67.5	31	17	7	25.5	19	14.25	13.5	35.5	"H"
"112"	59.25	28.75	16.75	5.75	28	21	15.75	11.25	30	63.6	27.8	18	6.2	28.8	23.4	13.2	13.8	29.6	"A"
